IN_LINK_ID,OUT_LINK_ID,DAY,TIME_OF_DAY,TURN_RATIO
782790509,-24017890,09-Apr-2015,17:45:00,0.11998
782790509,-24017890,09-Apr-2015,17:50:00,0.12567
782790509,-24017890,09-Apr-2015,17:55:00,0.12276
782790509,-24017890,09-Apr-2015,18:00:00,0.12099
782790509,-24017890,09-Apr-2015,18:05:00,0.12201
782790509,-24017890,09-Apr-2015,18:10:00,0.11934
782790509,-24017890,09-Apr-2015,18:15:00,0.11703
782790509,-24017890,09-Apr-2015,18:20:00,0.1156
782790509,-24017890,09-Apr-2015,18:25:00,0.11641
782790509,-24017890,09-Apr-2015,18:30:00,0.11621
782790509,-24017890,09-Apr-2015,18:35:00,0.11713
782790509,-24017890,09-Apr-2015,18:40:00,0.11488
782790509,-24017890,09-Apr-2015,18:45:00,0.11272
782790509,-24017890,09-Apr-2015,18:50:00,0.11703
782790509,-24017890,09-Apr-2015,18:55:00,0.11751
782790509,-24017890,09-Apr-2015,19:00:00,0.11691
782790509,-24017890,09-Apr-2015,19:05:00,0.11813
782790509,-24017890,09-Apr-2015,19:10:00,0.11922
782790509,-24017890,09-Apr-2015,19:15:00,0.1183
782790509,-24017890,09-Apr-2015,19:20:00,0.11531
782790509,-24017890,09-Apr-2015,19:25:00,0.11425
782790509,-24017890,09-Apr-2015,19:30:00,0.11213
782790509,-24017890,09-Apr-2015,19:35:00,0.11348
782790509,-24017890,09-Apr-2015,19:40:00,0.11344
782790509,-24017890,09-Apr-2015,19:45:00,0.11085
782790509,-24017890,09-Apr-2015,19:50:00,0.11136
782790509,-24017890,09-Apr-2015,19:55:00,0.11196
782790509,-24017890,09-Apr-2015,20:00:00,0.11117
782790509,-24017890,09-Apr-2015,20:05:00,0.1111
782790509,-24017890,09-Apr-2015,20:10:00,0.11206
782790509,-24017890,09-Apr-2015,20:15:00,0.11024
782790509,-24017890,09-Apr-2015,20:20:00,0.10938
782790509,-24017890,09-Apr-2015,20:25:00,0.10643
782790509,-24017890,09-Apr-2015,20:30:00,0.10579
782790509,-24017890,09-Apr-2015,20:35:00,0.10666
782790509,-24017890,09-Apr-2015,20:40:00,0.10643
782790509,-24017890,09-Apr-2015,20:45:00,0.10541
782790509,-24017890,09-Apr-2015,20:50:00,0.10086
782790509,-24017890,09-Apr-2015,20:55:00,0.10168
782790509,-24017890,09-Apr-2015,21:00:00,0.10047
782790509,-24017890,09-Apr-2015,21:05:00,0.101
782790509,-24017890,09-Apr-2015,21:10:00,0.10262
782790509,-24017890,09-Apr-2015,21:15:00,0.10303
782790509,-24017890,09-Apr-2015,21:20:00,0.10394
782790509,-24017890,09-Apr-2015,21:25:00,0.10405
782790509,-24017890,09-Apr-2015,21:30:00,0.10376
782790509,-24017890,09-Apr-2015,21:35:00,0.10386
782790509,-24017890,09-Apr-2015,21:40:00,0.10354
782790509,-24017890,09-Apr-2015,21:45:00,0.10678
782790509,-24017890,09-Apr-2015,21:50:00,0.10745
782790509,-24017890,09-Apr-2015,21:55:00,0.10725
782790509,-24017890,09-Apr-2015,22:00:00,0.10457
